Calendar Year,Source,source_code,Machine Line,Artificial machine line,Machine Line Code,Brand,Brand Code
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Sunward,SUN
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Sunward,SUN
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Takeuchi,TAK
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Takeuchi,TAK
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Takeuchi,TAK
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Venieri,VEN
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Volvo,VCE
2024,HARGROVE,HVE,Articulated Haulers,Articulated Haulers,330,Volvo,VCE
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Volvo,VCE
2024,HARGROVE,HVE,GPE Excavators Crawled,GEC,GEC,Volvo,VCE
2024,HARGROVE,HVE,Motor Graders,Motor Graders,380,Volvo,VCE
2024,HARGROVE,HVE,Rigid Haulers,Rigid Haulers,340,Volvo,VCE
2024,HARGROVE,HVE,Wheel Loaders,WLO,WLO,Volvo,VCE
2024,HARGROVE,HVE,GPE Excavators Wheeled,GEW,GEW,Wacker Neuson,WAN
2024,HARGROVE,HVE,Compact Excavators,CEX,CEX,Wacker Neuson,WAN
