Calendar Year,Region,Market Area,Country,Machine Line code,Machine Line,Size Class Flag,Brand Owner code,Brand Owner ,Brand,Brand Nationality,Source,FID
2023,Region Europe,MA Swecon & Robert Aebi,Sweden,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,599
2023,Region Europe,MA Swecon & Robert Aebi,Switzerland,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,13
2023,Region Europe,MA Swecon & Robert Aebi,Switzerland,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,85
2023,Region Europe,MA Swecon & Robert Aebi,Switzerland,310,GPE Crawler Excavators,>10t,VCE,Volvo CE,Volvo,Sweden,SAL,65
2023,Region Europe,MA Swecon & Robert Aebi,Switzerland,320,GPE Wheel Excavators,>11t,VCE,Volvo CE,Volvo,Sweden,SAL,59
2023,Region Europe,MA Swecon & Robert Aebi,Switzerland,330,Articulated Haulers,Articulated Haulers,VCE,Volvo CE,Volvo,Sweden,SAL,11
2023,Region Europe,MA Swecon & Robert Aebi,Switzerland,350,Compact Wheel Loaders,<7,VCE,Volvo CE,Volvo,Sweden,SAL,3
2023,Region Europe,MA Swecon & Robert Aebi,Switzerland,350,Compact Wheel Loaders,10<12,VCE,Volvo CE,Volvo,Sweden,SAL,8
2023,Region Europe,MA Swecon & Robert Aebi,Switzerland,350,Compact Wheel Loaders,7<10,VCE,Volvo CE,Volvo,Sweden,SAL,18
2023,Region Europe,MA Swecon & Robert Aebi,Switzerland,360,GPE Wheel Loaders,>12,VCE,Volvo CE,Volvo,Sweden,SAL,53
2023,Region Europe,MA Volvo EU Owned Dealers,Denmark,300,Compact Excavators,Midi,VCE,Volvo CE,Volvo,Sweden,SAL,21
2023,Region Europe,MA Volvo EU Owned Dealers,Denmark,300,Compact Excavators,Mini,VCE,Volvo CE,Volvo,Sweden,SAL,80
